idx,code,name,lat,lon,kind,wikidata,source_url
446,zcw,zoeterm. centrum west,52.047500,4.477500,station,Q430732,https://nl.wikipedia.org/wiki/Station_Zoetermeer
453,zsh,zoeterm. stadhuis,52.047500,4.477500,station,Q430732,https://nl.wikipedia.org/wiki/Station_Zoetermeer
455,ztmb,zoeterm. buytenwegh,52.047500,4.477500,station,Q430732,https://nl.wikipedia.org/wiki/Station_Zoetermeer
456,ztmd,zoeterm. dorp,52.047500,4.477500,station,Q430732,https://nl.wikipedia.org/wiki/Station_Zoetermeer
457,ztml,zoeterm. leidsewallen,52.047500,4.477500,station,Q430732,https://nl.wikipedia.org/wiki/Station_Zoetermeer
458,ztmm,zoeterm. meerzicht,52.047500,4.477500,station,Q430732,https://nl.wikipedia.org/wiki/Station_Zoetermeer
460,ztmp,zoeterm. palenstein,52.047500,4.477500,station,Q430732,https://nl.wikipedia.org/wiki/Station_Zoetermeer
461,ztms,zoeterm. seghwaert,52.047500,4.477500,station,Q430732,https://nl.wikipedia.org/wiki/Station_Zoetermeer
462,ztmv,zoeterm. voorweg,52.047500,4.477500,station,Q430732,https://nl.wikipedia.org/wiki/Station_Zoetermeer
467,zwisch,bad zwischenahn (d),53.183611,8.009722,station,Q504526,https://de.wikipedia.org/wiki/Bad_Zwischenahn
468,zww,zwaagwesteinde,53.248333,6.035833,station,Q2652530,https://nl.wikipedia.org/wiki/Station_De_Westereen
